"id_origem_dados_pontos","lon","lat","rumo","veloc","irin","mmsi","dh","imo","fonte","id_origem_dados","nome_navio"
"1569433353","-41.5136167","-36.5370667","96","12.4","OWYM2","219594000","2019-10-23 06:06:14-03","9424120","AIS-S","29","HEDVIG BULKER"
"1569489937","-40.24704","-20.2853567","166.3","7.5","PPZC","710005350","2019-10-23 09:37:46-03","9556002","AIS-S","29","HELIO FERRAZ"
"1569590449","-52.0930767","-31.9399767","259","7.4","PS_2707","711999000","2019-10-23 11:38:55-03","0","AIS-S","29","HELIO SFFAIR"
"1569406244","-50.90329","-32.6398767","225","10.8","9HA4390","249823000","2019-10-23 11:29:38-03","9794719","AIS-S","29","HELLAS TATIANA"
"1569599471","-44.38536","-2.5723533","38","2.9","VRGC8","477641600","2019-10-23 11:31:54-03","9375757","AIS-S","29","HE PING"
"1569400431","-43.1489033","-22.87964","148.1","0.1","PR 9633","710000009","2019-10-23 09:35:46-03","9145451","AIS-S","29","HERCULES"
"1569503913","-60.1265817","-33.3701933","246.4","0","DC7881","755057000","2019-10-23 06:30:16-03","0","AIS-S","29","HERKULES III"
"1569414531","-58.0921517","-20.2924483","14.9","4.7","ZPDR","755002941","2019-10-23 01:36:49-03","0","AIS-S","29","HERKULES IV"
"1569526256","-60.6585367","-32.0842167","328","4.5","ZPTN","755108000","2019-10-22 23:31:21-03","0","AIS-S","29","HERKULES V"
"1569568920","-57.9610283","-22.2345867","318.9","4","ZPBP","755062000","2019-10-23 01:36:03-03","0","AIS-S","29","HERKULES XV"
"1569398325","-59.84279","-30.992215","0","0","ZPUA..","755114000","2019-10-23 11:14:07-03","9769594","AIS-S","29","HERKULES XVII"
"1569424100","-57.8438917","-22.5293717","199.5","6","ZPUB","755115000","2019-10-23 01:00:43-03","0","AIS-S","29","HERKULES XVIII"
"1569486533","-40.2472133","-20.3078167","277","4.9","VRFJ8","477399200","2019-10-23 10:34:42-03","9375733","AIS-S","29","HE TONG"
"1569513794","-44.3264517","-2.4083267","16","0","VRFT8","477614600","2019-10-22 23:36:03-03","9375745","AIS-S","29","HE YONG"
"1569423333","-57.1469667","-35.0554833","226","13.3","VREK3","477141500","2019-10-23 09:13:18-03","9366299","AIS-S","29","HIGH JUPITER"
"1569477501","-46.287005","-24.2057617","116","0.1","5BFL3","209406000","2019-10-23 05:03:15-03","9540807","AIS-S","29","HIMALAYA"
"1569419009","-44.1189533","-2.14919","87","0.2","3FTJ","353825000","2019-10-22 23:36:06-03","9493066","AIS-S","29","HL BRAZIL"
"1569433683","-44.108925","-2.126695","255","16.1","3ETY","370378000","2019-10-23 05:58:58-03","9845128","AIS-S","29","HL VENUS"
"1569441223","-32.4825767","-11.8259317","199","12.3","PCEP","244327000","2019-10-23 11:31:53-03","9818709","AIS-S","29","HONDIUS"
"1569566300","-40.2357833","-20.2971","59","0","3FMU7","355899000","2019-10-23 00:36:04-03","9563603","AIS-S","29","HONG DAI"
"1569567662","-43.909825","-23.1404217","142","0.1","3FWZ4","356791000","2019-10-23 01:10:58-03","9563615","AIS-S","29","HONG HING"
"1569403601","-44.79475","-24.2187833","199","13.2","A8QI9","636013938","2019-10-23 09:02:13-03","940735400","AIS-S","29","HORIZON ARMONIA"
"1569392386","-40.4252167","-22.6402","220","0","YJVG4","576299000","2019-10-23 11:42:56-03","9414163","AIS-S","29","HOS ACHIEVER"
"1569564141","-40.0579167","-19.840315","148","0","9VAW8","563495000","2019-10-22 23:37:08-03","9081801","AIS-S","29","HOSANGER"
